Elle Smith,,15,,40,,,,
Alina Contreras,10,5,13,10,11,10,13,8
Angel Rojas,10,8,15,27,12,24,12,7
Malik Ortiz,2,20,1,24,11,17,13,9
Laila Malone,10,5.5,15,7,11,4,13,2
Carsen Li,10,6,15,1,12,5,13,8
Elliott Ramsey,10,0,15,10,11,10,6,10
Kylan Mckinney,10,3,15,5,12,3,13,3
Sariah Norris,9,20,14,8,4,15,3,20
Judah Snow,2,10,15,25,11,25,6,25
Paloma Norris,10,8,15,15,11,15,13,20
Sierra Gaines,10,4,15,5,12,6,13,3
Giada Mason,9,7,15,12,9,7,11,11
Harper Booker,10,3,13,6,6,3,10,4
Jamari Serrano,10,4,15,5,12,3,10,3
Talon Dixon,,,,,,,,
Deon Wise,10,6,15,10,6,2,6,4
Jazmyn Cox,9,16,15,16,11,8,10,16
Jermaine Kramer,10,0,15,2,11,1,6,1
Cristina Ewing,10,20,15,20,11,20,13,8
Savion Burnett,10,6,15,27,3,2,4,6
Clark Gillespie,10,3,15,5,11,5,13,3
Jamir Cooke,5,14,,,0,50,,
Darwin Dennis,,,,,,,,
Arturo Gilmore,10,8,15,12,11,4,10,8
Leland Smith,10,1,3,1,10,1,13,1
Jadyn Vaughn,,,,,,,,
Kamari Bauer,10,8,15,20,12,10,13,6
Javier Gill,3,10,,,,,,
Guillermo Ellison,10,12,12,25,8,11,4,8
Jamie Conner,10,6,15,8,12,5,11,4
Riley Bradshaw,10,5,15,12,11,8,13,2
Tia Montoya,10,6,15,13,11,10,13,6
Marley Olson,10,8,15,13,11,14,13,7
Laci Martin,10,5,15,10,5,5,13,10
Colten Black,10,0,15,20,10,8,4,0
Calvin Bell,10,9,15,23,9,9,13,7
Jennifer Villegas,10,20,14,15,9,5,4,0.5
Fiona Hudson,,,,,,,,
Brianna Skinner,10,6,13,24,11,8,13,10
Valentin Russo,10,8,15,10,11,12,13,8
Parker Andrews,10,7,15,5,12,4,13,1
Caiden Humphrey,8,17,15,25,6,21,4,5
Reagan Barry,10,20,15,20,3,1,6,10
Beau Henson,9,0,7,3,8,6,10,10
Preston Green,9,24,14,72,7,36,10,48
Kaitlin Berg,7,30,,,3,16,,
Brett Mahoney,9,8,15,9,12,3,4,2
Zackary Hopkins,10,0,15,3,11,3,13,3
Madelynn Moses,10,0,15,4,6,3,6,10
Payton Burke,10,8,15,10,12,8,13,6
Craig Poole,10,3,15,10,12,6,13,3
Alejandro Ward,10,6,14,20,9,10,4,1
Adriel Gay,,,,,,,,
Aaron Burke,10,4,15,6.5,12,9,13,3
Rayne Mckinney,10,0,15,1,11,2,4,1
Jovani Schmitt,10,3,15,8,12,8,13,4
Stephanie Fisher,10,10,6,25,4,13,,
Kamden Klein,,0,,,,,,
Ryleigh Barber,9,8,15,2,12,4,4,1
Bridget Dunn,2,14,1,8,12,9,13,7
Miah Andrade,9,0,,,,,,
Gauge Conley,10,6.4,15,8.2,11,4.5,13,6.1
Melanie Winters,10,0,3,4,9,2,13,2
Noe Chapman,10,4,15,6,12,8,13,3
Elisabeth Costa,10,4,15,7,12,3,13,5
Hailie Eaton,10,6,15,4,12,5,13,3.5
Joselyn Gates,10,20,15,45,12,20,4,1
Valentin Ashley,10,8,15,10,7,9,4,7
Rowan Colon,10,6,,,5,6,,
Ann Sandoval,10,10,15,15,10,10,6,6
Jorden Mcconnell,10,5,15,12,7,5,4,1
Selina Larson,10,16,13,24,10,5,7,4
Nikhil Young,10,6,14,19,9,4,6,1
Carolyn Blake,9,11,15,16,3,1,11,7
Gunner Montoya,10,8,15,20,11,20,13,8
Elisha Church,10,8,14,20,4,3,11,5
Ivy Rosales,6,0,1,140,6,50,13,30
Sabrina Matthews,10,2.5,12,4,12,5,13,3
Rory Carter,10,0,15,3,12,4,4,1
Aidan Hernandez,10,20,13,50,3,1,6,6
Titus Mckay,1,4,1,22,10,11,13,6
Elisha Rogers,10,10,15,10,12,8,13,6
Jaliyah Avila,10,10,15,20,11,15,13,10
Ryder Owen,,,,,,,,
